"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2,004956","0,091320","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"18,610754","0,516982","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"33,273889","2,961277","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"659,391063","27,246861","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"6601,449970","410,223687","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,243284","0,170287","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,656908","0,352648","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,852797","3,453209","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,213293","0,019144","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,675092","0,292940","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,565219","2,520089","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"5,631281","0,132736","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"113,535285","1,885099","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1136,023944","33,028372","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,226877","0,031179","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,710770","0,715357","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,749297","2,186920","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"152,981990","18,091482","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"3072,831330","330,300723","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"30610,780560","1086,283403","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,216183","0,060850","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,698568","0,446750","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,342384","4,135465","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,229231","0,044239","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2,020203","0,157951","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"18,731892","0,574306","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"31,869076","1,632518","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"645,626480","28,565972","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"6446,874480","322,878928","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,315704","0,851349","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,664757","0,513528","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,483551","5,558252","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,215873","0,020212","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,685767","0,452013","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,673779","2,091258","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"5,566196","0,153366","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"108,172121","3,790424","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1121,532664","24,975403","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,237047","0,097298","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,724686","0,751937","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,628145","2,208549","ms/op",262144,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
